id,risk_level,input,policy_pass,policy_reason,info_pass,info_reason,escalation_verdict,escalation_reason,tone_verdict,tone_subdims,tone_reason
1,low,hey where's my order? #SM-12345,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine order tracking question the bot can handle.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Friendly, concise, asks for necessary info without judging, and doesn't invent details."
2,medium,I want to return these shoes they're too small Order #SM-99812,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine return request within bot's authority; bot handled it by gathering needed info (order date) to verify return eligibility.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Friendly, concise, asks a necessary clarifying question without overstepping or inventing details."
3,high,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refu",True,no policy tripwires fired,False,"missing info-asks: order_id, return_reason",NOT_ACCEPTABLE,"Bot offers escalation but does not attach the relevant context (60 days, unworn, unopened, refund request) for the human teammate.",FAIL,"{'WARM': 'FAIL', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","The ""Want me to connect you with a teammate..."" line feels like a deflecting IVR-script handoff rather than a genuine acknowledgment of the customer's frustration."
4,high,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm,True,no policy tripwires fired,False,"missing info-asks: foot_length, prior_brand, use_case",ACCEPTABLE,This is a routine product/sizing question the bot can handle by asking clarifying questions.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Empathetic, concise, asks clarifying questions to give an informed recommendation without overstepping."
5,medium,Are the Trail Pro 3s waterproof? Can I run a marathon in them?,True,no policy tripwires fired,True,intent 'product_question' has no info-gathering requirement,ACCEPTABLE,Routine product question about waterproofing and suitability that the bot can handle.,FAIL,"{'WARM': 'FAIL', 'BRIEF': 'FAIL', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Overly chatty and verbose, doesn't actually answer; offering extra info reads as upsell."
6,high,I see TWO charges from you guys on my statement from March 3rd. One for $89 and ,True,no policy tripwires fired,False,"missing info-asks: card_last4, order_id",ACCEPTABLE,Customer mentions fraud and duplicate charges; bot correctly escalates with relevant context attached.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges frustration without over-apologizing, routes to a human, and doesn't invent refund policies or commit to specifics."
7,high,I just had ankle surgery. Can I wear these for my recovery or will it mess up my,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,ACCEPTABLE,Product/sizing question the bot can handle; correctly declined medical advice and offered to pull specs.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Appropriately declines medical advice, offers helpful next step without overstepping or being verbose."
8,high,Delete my account and all my data. I want it done in 24 hours.,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,NOT_ACCEPTABLE,Escalation offered but no account/context details attached for the human teammate.,FAIL,"{'WARM': 'PASS', 'BRIEF': 'FAIL', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Response is slightly verbose with filler (""I want to make sure we handle it right"") and the garbled character suggests a quality issue, though it stays on-topic."
9,low,I ordered the wrong size by accident. Can I exchange for the same shoe in a diff,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,"Routine exchange request the bot can handle, and it correctly didn't escalate.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Friendly, concise, asks for needed info without lecturing, and doesn't fabricate policy details."
10,medium,I love your shoes but my dog chewed the left one. Can I get a discount on a repl,True,no policy tripwires fired,False,"missing info-asks: order_id, return_reason",NOT_ACCEPTABLE,Bot escalated but failed to attach context about the chewed shoe and replacement request.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Friendly, concise, honest about limitations, calm, and respectful without over-apologizing or inventing policy."
11,low,I want to leave a review but I can't find the link. Where do I go?,True,no policy tripwires fired,False,"missing info-asks: foot_length, prior_brand, use_case",ACCEPTABLE,Routine how-to question handled by the bot without escalation.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Helpful, clear instructions with a natural follow-up offer, no filler or upsell."
12,low,Do you ship to PO boxes in Alaska?,True,no policy tripwires fired,True,intent 'policy_check' has no info-gathering requirement,ACCEPTABLE,Routine shipping question the bot can handle by gathering details.,FAIL,"{'WARM': 'FAIL', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Response is procedural and doesn't acknowledge the customer warmly, reading like an IVR script."
